TERM_CODE	TERM_DESCRIPTION	SCHOOL_NAME	DEPARTMENT	SUBJECT_ID	SUBJECT_TITLE	INSTRUCTOR_NAME	MATERIAL_TITLE	MATERIAL_AUTHOR_NAME	MATERIAL_ISBN	MATERIAL_PUBLISHER	MATERIAL_YEAR
2009FA	Fall Term 2008-2009	Architecture and Planning	Architecture	4.116	Adv Architecture Design Studio	Nondita Correa-Mehrotra	Sustainable urban living [videorecording] : a South American case study / Classroom Video presents ;			[Australia?] : Classroom Video, [2003?]	2003
2009FA	Fall Term 2008-2009	Architecture and Planning	Architecture	4.163	Urban Design Studio	Mehrotra, Rahul J.	Maximum city : Bombay lost and found / Suketu Mehta.	Mehta, Suketu.	0375403728	New York : Alfred A. Knopf, 2004.	2004
2009FA	Fall Term 2008-2009	Architecture and Planning	Architecture	4.163	Urban Design Studio	Mehrotra, Rahul J.	Bombay and Mumbai : the city in transition / edited by Sujata Patel and Jim Masselos.		0195663179	New Delhi ; New York : Oxford University Press, 2003.	2003
2009FA	Fall Term 2008-2009	Architecture and Planning	Architecture	4.163	Urban Design Studio	Mehrotra, Rahul J.	The colonial city and the challenge of modernity : urban hegemonies and civic contestations in Bomba	Hazareesingh, Sandip.		Hyderabad, India : Orient Longman, 2007.	2007
2009FA	Fall Term 2008-2009	Architecture and Planning	Architecture	4.163	Urban Design Studio	Mehrotra, Rahul J.	Bombay maximum city, l'album.		2879393256	Paris : Terrail; Lille : Lille 3000, c2006.	2006
2009FA	Fall Term 2008-2009	Architecture and Planning	Architecture	4.163	Urban Design Studio	Mehrotra, Rahul J.	Ripping the fabric : the decline of Mumbai and its mills / Darryl D'Monte.	D'Monte, Darryl.	0195661125	New Delhi ; New York : Oxford University Press, 2002.	2002
2009FA	Fall Term 2008-2009	Architecture and Planning	Architecture	4.163	Urban Design Studio	Mehrotra, Rahul J.	The making of an Indian metropolis : colonial governance and public culture in Bombay, 1890-1920 / P	Kidambi, Prashant, 1970-	0754656128 (alk. paper)	Aldershot, England ; Burlington, VT : Ashgate, c2007.	2007
2009FA	Fall Term 2008-2009	Architecture and Planning	Architecture	4.163	Urban Design Studio	Mehrotra, Rahul J.	The city in action : Bombay struggles for power / Jim Masselos.	Masselos, Jim.	9780195679298	New Delhi ; New York : Oxford University Press, 2007.	2007
2009FA	Fall Term 2008-2009	Architecture and Planning	Architecture	4.163	Urban Design Studio	Mehrotra, Rahul J.	Life in Mumbai / Vasoo B. Dholekar ; script by Balkrishna B. Dholekar, Homi Rogers.	Dholekar, Vasoo B., 1931-	8187853026	Mumbai : English Edition Publishers and Distributors, c2001.	2001
2009FA	Fall Term 2008-2009	Architecture and Planning	Architecture	4.163	Urban Design Studio	Mehrotra, Rahul J.	Report of the High Powered Expert Committee on making Mumbai an international financial centre.	India. Ministry of Finance. High Powered Export Committee.	9780761936305 (paper back)	New Delhi ; Thousand Oaks, Calif. : SAGE Publications, 2007.	2007
2009FA	Fall Term 2008-2009	Architecture and Planning	Architecture	4.163	Urban Design Studio	Mehrotra, Rahul J.	Heritage regulations for Greater Bombay.			Mantralaya, Bombay : Government of Maharashtra, 1995.	1995
2009FA	Fall Term 2008-2009	Architecture and Planning	Architecture	4.163	Urban Design Studio	Mehrotra, Rahul J.	Bombay mix : street photographs / Ketaki Sheth ; introduction by Suketu Mehta.	Sheth, Ketaki.	9781904587477 (hbk.)	Stockport : Dewi Lewis, 2007.	2007
2009FA	Fall Term 2008-2009	Architecture and Planning	Architecture	4.163	Urban Design Studio	Mehrotra, Rahul J.	City forest : Mumbai's National Park / text & photographs, Sunjoy Monga ; foreword, Humayun Abdulali	Monga, Sunjoy.	8175082976	Mumbai : India Book House Ltd., 2000.	2000
2009FA	Fall Term 2008-2009	Architecture and Planning	Architecture	4.163	Urban Design Studio	Mehrotra, Rahul J.	A city's legacy : the Indian Navy's heritage in Mumbai / Sharada Dwivedi, Rahul Mehrotra, Abha Narai	Dwivedi, Sharada.	8190217070	Bombay : Eminence Designs : [Distributed by Wilco], 2005.	2005
